iter	Passed	Remaining
970	93709	6661874
971	93812	6662254
972	93919	6662844
973	94023	6663302
974	94120	6663230
975	94210	6662723
976	94315	6663218
977	94421	6663746
978	94519	6663738
979	94624	6664243
980	94729	6664753
981	94836	6665380
982	94945	6666196
983	95045	6666351
984	95135	6665793
985	95226	6665282
986	95321	6665048
987	95427	6665651
988	95523	6665469
989	95630	6666095
990	95726	6666014
991	95826	6666122
992	95917	6665617
993	96016	6665704
994	96111	6665529
995	96201	6664946
996	96308	6665577
997	96412	6666014
998	96519	6666629
999	96617	6666638
1000	96723	6667160
1001	96833	6667961
1002	96926	6667650
1003	97023	6667589
1004	97132	6668319
1005	97238	6668863
1006	97353	6670018
1007	97448	6669788
1008	97544	6669682
1009	97648	6670083
1010	97744	6669949
1011	97848	6670324
1012	97949	6670533
1013	98069	6672006
1014	98162	6671655
1015	98275	6672700
1016	98370	6672485
1017	98470	6672587
1018	98562	6672174
1019	98665	6672529
1020	98777	6673403
1021	98890	6674399
1022	98995	6674922
1023	99110	6676052
1024	99217	6676578
1025	99320	6676942
1026	99424	6677345
1027	99536	6678246
1028	99628	6677830
1029	99723	6677601
1030	99836	6678574
1031	99930	6678330
1032	100026	6678121
1033	100139	6679117
1034	100241	6679376
1035	100352	6680250
1036	100458	6680711
1037	100568	6681510
1038	100662	6681205
1039	100752	6680675
1040	100865	6681607
1041	100969	6681997
1042	101081	6682916
1043	101191	6683687
1044	101285	6683378
1045	101388	6683707
1046	101504	6684848
1047	101607	6685179
1048	101708	6685330
1049	101799	6684845
1050	101898	6684864
1051	102014	6686024
1052	102117	6686348
1053	102216	6686333
1054	102319	6686628
1055	102433	6687658
1056	102532	6687673
1057	102641	6688376
1058	102747	6688901
1059	102852	6689276
1060	102960	6689926
1061	103067	6690451
1062	103177	6691171
1063	103281	6691561
1064	103375	6691234
1065	103468	6690918
1066	103584	6692037
1067	103701	6693181
1068	103799	6693173
1069	103894	6692925
1070	103990	6692782
1071	104085	6692559
1072	104183	6692493
1073	104291	6693128
1074	104394	6693410
1075	104497	6693658
1076	104592	6693420
1077	104682	6692907
1078	104780	6692838
1079	104879	6692879
1080	104977	6692844
1081	105090	6693740
1082	105193	6694043
1083	105302	6694661
1084	105396	6694394
1085	105491	6694145
1086	105586	6693923
1087	105700	6694895
1088	105807	6695378
1089	105914	6695941
1090	106025	6696739
1091	106132	6697225
1092	106232	6697294
1093	106333	6697450
1094	106431	6697425
1095	106529	6697376
1096	106644	6698392
1097	106740	6698236
1098	106831	6697729
1099	106936	6698137
1100	107042	6698573
1101	107139	6698449
1102	107236	6698357
1103	107346	6699033
1104	107458	6699878
1105	107563	6700237
1106	107655	6699820
1107	107750	6699600
1108	107864	6700549
1109	107968	6700861
1110	108078	6701550
1111	108179	6701652
1112	108290	6702404
1113	108385	6702177
1114	108480	6701938
1115	108575	6701725
1116	108676	6701856
1117	108790	6702759
1118	108888	6702722
1119	108982	6702411
1120	109090	6702969
1121	109184	6702669
1122	109281	6702559
1123	109371	6702034
1124	109473	6702185
1125	109578	6702575
1126	109690	6703375
1127	109785	6703114
1128	109887	6703349
1129	109989	6703502
1130	110092	6703773
1131	110201	6704387
1132	110311	6705062
1133	110429	6706180
1134	110532	6706452
1135	110641	6707059
1136	110747	6707501
1137	110860	6708355
1138	110956	6708114
1139	111053	6708014
1140	111161	6708574
1141	111269	6709112
1142	111368	6709077
1143	111480	6709851
1144	111577	6709752
1145	111683	6710141
1146	111791	6710704
1147	111884	6710337
1148	111995	6711055
1149	112087	6710615
1150	112197	6711279
1151	112305	6711818
1152	112404	6711800
1153	112503	6711802
1154	112602	6711763
1155	112699	6711677
1156	112801	6711819
1157	112903	6712023
1158	113008	6712342
1159	113111	6712559
1160	113219	6713124
1161	113318	6713108
1162	113413	6712821
1163	113519	6713271
1164	113627	6713770
1165	113717	6713216
1166	113824	6713700
1167	113934	6714304
1168	114025	6713861
1169	114122	6713727
1170	114214	6713270
1171	114322	6713825
1172	114436	6714652
1173	114545	6715250
1174	114652	6715685
1175	114745	6715363
1176	114843	6715259
1177	114935	6714866
1178	115028	6714455
1179	115117	6713888
1180	115210	6713550
1181	115321	6714212
1182	115422	6714289
1183	115517	6714043
1184	115626	6714633
1185	115716	6714094
1186	115823	6714544
1187	115927	6714810
1188	116021	6714502
1189	116130	6715053
1190	116243	6715887
1191	116353	6716463
1192	116451	6716427
1193	116549	6716323
1194	116641	6715931
1195	116734	6715572
1196	116842	6716052
1197	116951	6716603
1198	117054	6716795
1199	117163	6717401
1200	117255	6716946
1201	117363	6717421
1202	117453	6716941
1203	117560	6717368
1204	117663	6717576
1205	117762	6717524
1206	117870	6718051
1207	117964	6717705
1208	118055	6717271
1209	118162	6717661
1210	118266	6717955
1211	118375	6718469
1212	118482	6718909
1213	118591	6719455
1214	118688	6719352
1215	118797	6719870
1216	118889	6719480
1217	118983	6719120
1218	119077	6718837
1219	119171	6718552
1220	119269	6718458
1221	119378	6719015
1222	119486	6719500
1223	119578	6719077
1224	119667	6718479
1225	119776	6719022
1226	119870	6718710
1227	119972	6718854
1228	120062	6718332
1229	120171	6718839
1230	120260	6718253
1231	120368	6718728
1232	120469	6718825
1233	120575	6719193
1234	120668	6718839
1235	120778	6719451
1236	120880	6719560
1237	120988	6720030
1238	121081	6719702
1239	121173	6719254
1240	121276	6719487
1241	121386	6720060
1242	121486	6720088
1243	121593	6720505
1244	121700	6720917
1245	121809	6721402
1246	121898	6720856
1247	122003	6721124
1248	122112	6721672
1249	122204	6721233
1250	122311	6721639
1251	122407	6721477
1252	122498	6720990
1253	122610	6721668
1254	122719	6722190
1255	122829	6722739
1256	122939	6723315
1257	123029	6722786
1258	123118	6722227
1259	123227	6722728
1260	123322	6722475
1261	123410	6721863
1262	123515	6722180
1263	123622	6722567
1264	123717	6722293
1265	123828	6722907
1266	123926	6722846
1267	124024	6722770
1268	124117	6722395
1269	124221	6722657
1270	124312	6722177
1271	124410	6722098
1272	124507	6721946
1273	124613	6722275
